Name of Product,Batch No,Manufactured By,Reporting Month & Year
Iron And Folic Acid Syrup IP,050725SPB1,"Smilax Healthcare Drug Co Plot No.23, EPIP-1, Jharmajri, Baddi-174103, Dist, Solan (H.P.)",01-08-2025
Iron and Folic Acid Syrup IP,160725SPB1,"Smilax Healthcare Drug Co Plot No.23, EPIP-1, Jharmajri, Baddi-174103, Dist, Solan (H.P.)",01-08-2025
Betamethasone Sodium Phosphate Tablets IP,501303,"Comed Chemicals Limited, UNIT-1, Plot No. 359,361/2, 362, Rania, Tal: Savli, Dist, Vadodara",01-08-2025
Cholecalciferol (Vitamin D3) Oral Solution USP 400 IU/ml,VAM-2501,"Apple Formulations Pvt, Ltd, Plot No.208, Kishanpur, Roorkee-247667 (U.K)",01-08-2025
Rabeprazole sodium (GR) and domperidone (PR) Capsules,BC24-144,"Biocore Pharmaceuticals, Plot No, 8-C, D.I.C. Indl. Area, Lodhimajra, Baddi, Distt. Solan (HP)-173205",01-08-2025
Rabeprazole sodium (Enteric Coated) & Domperidone (Sustained Release) Capsules.,NHC-5C004C,"NuGen Healthcare, Plot no. 825, Ind. Area Phase 2, Chandigarh-160002",01-08-2025
Rabiprazole Gastro Resistant Tablets IP.,GT-24031,"Glauben Pharma, Plot No. 55, Industrial Area, Phase-III, Teiwhal Dist-UNA, H.P- 174507, Himachal Pradesh",01-08-2025
"Reocid Tablets, Enteric Coated Rabiprazole Sodiumtablets IP.",T-24064,"H.L. Healthcare Pvt Ltd, Plot No.25, Ind Area, Phase II Gagret,HP 177201. Himachal Pradesh.",01-08-2025
Pantoprazole Sodium Tablets 40 mg.,T25.023,"Oaksun Lifesciences , plot No: 36, 37, 38, 46 & 47, Chengicherla(V) Medipally(M) Medchal- Malkajgiri (Dist.) T.S.- 500092",01-08-2025
Aspirin Gastro- resistant Tablets IP (150mg),URDT2771,"Unicure India Ltd., Ploot No. 45(B) vill. Raipur, Bhagwanpur, Roorkee, Distt. Haridwar, Uttarakhand",01-08-2025
Rifaximin Tab 400 mg.,XT2656F,"Saphnix Life Sciences (A WHO- GMP Certified Company), Village- Barotiwala, Paonta Sahib, Dist- Sirmour, Himachal Pradersh-173025",01-08-2025
Hydrogen Peroxide Solution 6%w/v,MW113,"Mediwish #4/30, 1st Main, A street Kuvempunagar, Mysore Road, Bengaluru-560026",01-08-2025
Etoricoxib Tablets IP,CPT-250212,"Catasta Pharmaceuticals,Plot No. 113 DIC Industrial Area, Baddi, Distt. Solan 173205",01-08-2025
Infusion Set-NV,KT-021,"Medivision Healthcare, 84/4 Span Industrial Complex Second floor, Phase-I, F Road, Opp. Kotak Mahindra Bank, G.I.D.C Vatva, Ahmedabad 382445",01-08-2025
"Cefidxime, Azithromycin & Lactic Acid Baciullus Tablets",MM-241491,"Park Pharmaceuticals, 272, Ind. Area, Phase-II, Panchkula-134113",01-08-2025
Carboxymethyleellu lose sodium Eye drops IP 0.5% w/v (On Tears),N24297,"Sentiss Pharma Pvt. Ltd. Vill Khera Nihla, The. Nalaharh Dist. Solan-174101 HP",01-08-2025
Caroxymethylcellu lose sodium Eye Drops IP 1% w/v (On tears Gel Drops),N24348,"Sentiss Pharma Pvt. Ltd. Vill Khera Nihla, The. Nalaharh Dist. Solan-174101 HP",01-08-2025
"Ambroxol HCI, Terbutaline Sulphate. Guaiphenesin & Menthol Syrup)",LV24GL-377,L.V Life Sciences VPO Gurumajra Baddi Distt. Sirmour (HP)-174101,01-08-2025
Lorazepam Tablets,LALO24014,"Chimak Health Care, At: Below D.F.O. Office Solan-173212 HP",01-08-2025
Ondansetron Orally Disintegratin Tablets IP,MT-25A46,"Martin & Brown Bio- Sciences Pvt Ltd. K.No-918/419, Malkumajra. Nalgarh Road, Baddi, Distt. Solan HP-173205",01-08-2025
"Viminta Neo Forte Soft (Methylcobalamin, Alpha Lipoic Acid Benfotiamine. Chromium Picolinate & Inositol Soft Gelatin Capsule)",124,Asoj Soft Caps Pvt Ltd. Asoj Baroda-Halol Highway Dist. Baroda-391510 Gujarat,01-08-2025
C & C-LS Cough Syrup (Ambroxol Hydrochloride. Guaiphenesin and Levosalbutamol,CSL-129,"Ethidrus Research Lab Pvt Ltd., no. 174, Second Cross, Kurumbapetr, Puducherry-605009",01-08-2025
Multivitamin Injection,HVIL2413,"Lexene Pharma Pvt Ltd. Plot No. 497, B/H Oil Mill, NR, Saduthala Bus Stand Modhera Road, AT-Kanoda, TA-Beehraj Dist. Mehsana",01-08-2025
Sodium Bicarbonate Injection IP 7.5% w/v.,240115A,"Swiss Parenterals Ltd. 808, 809& 810 Kerala Industrial Estate, GIDC Nr. Bavla, Distt. Ahmedabad-382220 Gujarat",01-08-2025
"Mymi D (Alpha Lipoic Acid, Pyridoxine Hydrochloride Methylcobalamin Folic Acid & Vitamin D3 Tablets)",HT24260,"HBC Healthcare Pvt Ltd. Block/Survey No. 609, Paiki 002 Ambasan (Amipura) Nr. Shankus water Park, Ahmedabad Mehsana Highway Mehsana 384435 Gujarat",01-08-2025
Pantoprazole Gastro Reistant and Dompendone Prolonged Release Capsule IP,2307045,"Sanctus Global Formulations Ltd. Khasra No. 587/588, Village Kunjhal Backside Jharmajri, tehsil Baddi Dist. Solan HP-174103",01-08-2025
Oxytocin Injection IP,OR2OX-01,"Biomedica Laboratories Ltd., (Unit-2) 11-B and 11-C, Sector-E Sanwer Road, Industrial Area Indore-452015",01-08-2025
Tobramycin Eye Drops 0.3% (Opthalmic Use Only,EYC-54,"Agron Remedies Pvt Ltd. Sarverkhera, Moradabad Road Kashipur-244713 Uttarakhand",01-08-2025
Tobramycin Eye Drops 0.3% (Opthalmic Use Only,EYC-51,"Agron Remedies Pvt Ltd. Sarverkhera, Moradabad Road Kashipur-244713 Uttarakhand",01-08-2025
Iron Sucrose Injection USP 100 mg/ 5 ml,24RSO6,"SAI Parenterals Ltd. D1&D4, Survey No.280,Phase-V, IDA,Jeedimetla, Hyderabad-500055, Telangana, India",01-08-2025
Pantoprazole for Injection IP,24GL13C,"MNG Healthcare Trilokpur Road, Kala Amb, Distt. Sirmour -173 030 (H.P.)",01-08-2025
Clindamycin Injection IP,24CL02,"SAI Parenterals Ltd. D1&D4, Survey No.280,Phase-V, IDA,Jeedimetla, Hyderabad-500055, Telangana, India",01-08-2025
Amikacin Sulphate Injection IP 500mg/2ml,325-179,"Zee Laboratories Ltd. Behind 47, Indl. Area, Paonta Sahib-173025",01-08-2025
Tobramycin Ophthalmic Solution USP 0.3% w/v,Z24-506,"Zee Laboratories Ltd. Behind 47, Indl. Area, Paonta Sahib-173025",01-08-2025
Rabeprazole Sodium Injection I.P. 20 mg/vial,MD24A19,"MARTIN & BROWN BIO-SCIENCES PVT. LTD. K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist.Solan (H.P.)-173205",01-08-2025
"Omega-3 Fatty Acid, Methylcobalamin, Calcitriol, Folic Acid, Boron & Calcium Carbonate Soft Gel Capsules",D241600A,"Sigma Softgel & Formulation Plot. No. 171, HPSIDC, Industrial Area, Baddi 173205, Distt- Solan (H.P.)",01-08-2025
Amino Acids and Minerals Capsules,ALM5006,"Albert David Ltd. B-12, 13 Meerut Road Ind. Area, Ghaziabad-201003",01-08-2025
Ceftriaxone Injection I.P. 1 g,HCBA19,"Hindustan Antibiotics Ltd..(A Government Of India Enterprises) At 11, W.E.A. Faridabad - 121001 (Haryana)",01-08-2025
Sodium Chloride & Dextrose Injection I.P.( 0.9% W/V Sodium chloride & 5% W/V Dextrose Injection IP) (DNS),ODF240254,"Haseeb Pharmaceuticals Pvt. Ltd. Plot No.F9/14, 15, 16, MIDC, Nagpur- 440016. Maharashtra",01-08-2025
Albendazole Tablets IP,GT4H012,"Scott-Edil Pharmacia Ltd. 56, EPIP., Phase-I, Jharmajri, Baddi, Distt. Solan - 173 205, (H.P.),INDIA",01-08-2025
Ampicillin Trihydrate & Bromhexine Hydrochloride Capsules,ABC24006,"Alexa Pharmaceuticals Plot No. 20 Ext HPSIDC, Ind Area, Baddi, Distt. Solan (H.P.) 173205",01-08-2025
Ampicillin Trihydrate & Bromhexine Hydrochloride Capsules,ABC240032,"Alexa Pharmaceuticals Plot No. 20 Ext HPSIDC, Ind Area, Baddi, Distt. Solan (H.P.) 173205",01-08-2025
Gentamicin Injection IP (Gentatore Injection),IGMK445,"Regain Laboratories 134/5,HTM Road,Raipur Lane,Hisar-125001",01-08-2025
Glimepiride Tablets IP 1 mg,12800524,"Karnataka Antibiotics And Pharmaceuticals Ltd Plot No.14, II Phase,Peenya,Bengaluru-560058",01-09-2025
SPADE SERRATIOPEPTIDASE TABLETS IP 5 mg,ISP122,"Med Manor Organics Pvt.Ltd. Unit-II, Kh. No.143M/7 Village-Raipur Pagwana Bhagwanpur, Tehsil-Roorkee, Distt.Haridwar, Uttarakhand-247661.",01-09-2025
"MECOSOL-Plus Capsules Mehtylcobalamin, Alpha Lipoic acid, Folic Acid, Pyridoxine HCl & Thiamine Mononitrate Capsules",VGC240264B,"Vrindavan Global Plot No. 23-B &C, Ind. Area Lodhimajra, Baddi, Distt. Solan (H.P.) 173205",01-09-2025
Albendazole Tablets IP,PGT25451,"Affy Parenterals (WHO- cGMP/ISO 9001:2015 Certified Co.) Vill. Gullerwala, P.O. Baddi, Distt. Solan- 173 205 (HP)",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA 1350,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1342,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1344,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1341,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA 1343,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1355,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1339,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTI1094,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
CALXIA Calcium Carbonate 500 MG + VIT. D3 250 IU Tablets IP,GTA1356,"Gidsha Pharmaceuticals Plot No. 611 612, Mega GIDC, Kharedi, Dahod 389151, Gujarat",01-09-2025
Clopidogrel & Aspirin Tablets I.P. (75 mg & 75 mg),Z24-338,"Zee Laboratories Ltd. Behind 47, Industrial Area, Paonta Sahib-173025",01-09-2025
Diclofenac Sodium and Paracetamol Tablets IP,I405175,"Zydus Healthcare Ltd.,(Unit II) 967 (P), 968 (P), 970 (P), Duga Circle, Kamarey Bhasmay, Kumrek, Sikkim-737132",01-09-2025
Tamoxifen Tablets IP,SPOT250033,"Salus Pharmaceuticals 480/211, Harraipur, PO Gurumajra,Teh Baddi, Distt.Solan (H.P.) 173205",01-09-2025
Amoxycillin & Potassium Clavulana Tablet I.P,MFK0722,"Medicef Pharma, Plot No. 28, 29 & 48, Phase-I, EPIP, Jharmajri, Baddi, Dist. Solan - 173205, (H.P.)",01-09-2025
TELMISARTAN TAB I.P. 40 MG.,GT-2502,"Helax Healthcare Pvt. Ltd., Khasra No. 410, Vill. Karondi, Haridwar.",01-09-2025
TELMISARTAN TAB I.P. 40 MG.,GT-2504,"Helax Healthcare Pvt. Ltd., Khasra No. 410, Vill. Karondi, Haridwar.",01-09-2025
Bromhexine Hydrochloride Tablets IP 4 mg,TBH4-015,"J.P. Industries Bhud, Baddi, Distt. Solan, H.P. India",01-09-2025
Iron Sucrose Injection USP 100 mg,24RS15,"SAI Parenterals Limited, D1&D4, Survey No.280,Phase-V, IDA,Jeedimetla, Hyderabad-500055, Telangana, India",01-09-2025
CALXIA Dicyclomine Hydrochloride Tablets IP 10 mg..,QT0210,"Quest Laboratories Limited Plot No. 45, Sector-III, Pithampur, Dist. Dhar- 454775 (M.P.)",01-09-2025
Rabeprazole Sodium Injection IP,MD24G41,"Martin & Brown Bio-Sciences Pvt. Ltd.. K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist.Solan (H.P.)-173205",01-09-2025
Dexamethasone Injection I.P.,NSD24005,"SGS Pharmaceuticals Pvt. Ltd. 162/1Puhana Iqbalpur Road, Nanhera , Roorkee - 247 667(Uttarakhand)",01-09-2025
Telmisartan Tablets I.P. 40 mg..,BPLT-25010,"Bennet Pharmaceuticals Ltd. Village Chanal Majra, Nr. Manpura, BADDI, Tal. Nalagarh, Distt. Solan (H.P.) - 173205.",01-09-2025
LUPIGESIC Buprenorphine Injection IP 2ml,ASG 1590,"SNG Pharmaceuticals (p) Ltd., 101/B.K.B Complex Opp. Mahavir Nagar, N.H.No. 8, Vapi-396191 At 75/1 G.I.D.C, Vapi-396195",01-09-2025
AZEN-20 Rabeprazole Tablets IP,ZTL-157,"Zoic Biotech Pvt. Ltd. Plot No. C-15, Focal Point, Ind. Area, Chanalon, Mohali (Punjab) 140103",01-09-2025
Ampicillin Injection IP 500mg,24AP2341,"Pharma Impex Laboratories Pvt. Ltd. (ISO 9001 : 2015 & WHO GMP Certified) South Uttarbhag, Ramanagr, Baruipur, Dist. South 24PGS, WB. - 743387 INDIA",01-09-2025
Telmisartan Tablets IP 40 mg,BPLT-24305,"Bennet Pharmaceuticals Ltd. Village Chanal Majra, Nr. Manpura, BADDI, Tal. Nalagarh, Distt. Solan (H.P.) - 173205.",01-09-2025
Amoxycillin & Potassium Clavulanate Injection IP 1200 mg,D0092461A,"Protech Telelinks Mouza Ogli, Suketi Road, Kala Amb, Distt. Sirmour-173030 (H.P.)",01-09-2025
Bupivacaine Injection IP,L2022410B,"Protech Telelinks Mouza Ogli, Suketi Road, Kala Amb, Distt. Sirmour-173030 (H.P.)",01-09-2025
Pimecrolimus IH,PMS0125008,"Sumar Biotech LLP, Plot No: 112,113,114, GIDC Estate Gozariya, Ta & Dist: Mehsana-382825, Gujarat, India",01-09-2025
FECOPOD Cefpodoxime Proxetil Tablets 200 mg,TBL-114,"Ticoma Pharmacia.. E-17, Industrial Focal Point, Derabassi - 140 507 (Pb.).",01-09-2025
Moxilase-CV Amoxycillin & Potassium Clavulanate Injection IP,B24154,"Rica Enterprises, Vill. Khari, Mauza Ogli, Kala Amb, DIstt. Sirmour- 173030 H.P.",01-09-2025
KOBALA PLUS Alpha Lipoic Acid 300mg & Methylcobalamin 1500mcg Capsules,DAL401,"Synmedic Laboratories SP-3-5 A And C, RIICO Industrial Area Keshwana, Kotputli, Jaipur, Rajasthan-303108.",01-09-2025
Pantoprazole Tablets IP 40 mg,111,"Hindustan Antibiotics Ltd. (A Govt. of India Enterprise) Pimpri, Pune - 411 018, INDIA.",01-09-2025
Pdzole -40 Tablets Pantoprazole Gastro Resistant Tablets IP 40 mg,ZBT-7770,"Zoic Biotech Pvt. Ltd. Plot No. C-15, Focal Point, Ind. Area, Chanalon, Mohali (Punjab) 140103",01-09-2025
Ofloxacin & Ornidazole Tablets I.P..,OZH-2501,"Apple Formulations Pvt. Ltd. . Plot No.208, Kishanpur, Roorkee- 247667(U.K.)",01-09-2025
Savtel Telmisartan Tablets IP 40 mg.,PT-40585,"Pharmaroots Healthcare Khasra No. 411, Village Tipra, P.O. Barotiwala, Tehsil Baddi, Distt. Solan, H.P.",01-09-2025
GREEN SAFE DELUX Infusion Set,24050016,"Upico Medicare Pvt. Ltd PLOT.NO.17, Karmbhumi ,INDL. ESTATE, Bakrol,Distt, Ahmedabad, Gujarat",01-09-2025
Pantoprazole Tablets I.P..,PAA-528,"Healers Lab Unit II Plot No. 33, H.P.S.I.D.C., Extn., Baddi, Distt-Solan (H.P.)",01-09-2025
"Ambroxol HCl, Salbutamol Sulphate & Guaiphenesin Liquid",RSP3041,"Naxpar Pharma Pvt. Ltd. 182, Village- Gurumajra, Kishanpura, Baddi, Dist- Solan Himachal Pradesh -174101.",01-09-2025
"Picozide Sodium Picosulfate, Liquid Paraffin & Milk of Magnesia Suspension",PZDS-041,"Iosis Remedies Pvt. Ltd.Rajpura Road, Village- Khera Nihla Tehsil- Nalagarh, District - Solan, Himachal Pradesh - 174 101, India.",01-09-2025
RAXOFEN Ibuprofen and Paracetamol Tablets IP,6563,"R.P. Biotech Pvt. Ltd. 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
PODORAM Cefpodoxime Tablets I.P. 200 mg,6492,"R.P. Biotech Pvt. Ltd., 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
Cyproheptadine Tablets IP 4 mg,6489,"R.P. Biotech Pvt. Ltd. 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
Amoxycillin Trihydrate Dispersible Tablets IP 250 mg,DL-58,"SVR Healthcare , Barotiwala,Paonta Sahib, Distt. Sirmour (H.P)-173025",01-09-2025
Cefixime Tablets IP 200 mg,DL-134,"SVR Healthcare , Barotiwala,Paonta Sahib, Distt. Sirmour (H.P)-173025",01-09-2025
Loperamide Hydrochloride Capsules IP 2 mg,7645,"R.P. Biotech Pvt. Ltd. 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
PANZOLE Pantoprazole Sodium Tablets I.P.,6735,"R.P. Biotech Pvt. Ltd. 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
AMLOCARE-AT Amlodipine and Atenolol Tablets IP,6717,"R.P. Biotech Pvt. Ltd. 61, Industrial Focal Point, Batala, District Gurdaspur, Punjab.",01-09-2025
Clopidogrel and Aspirin Tablets IP .,GT241285,"Theon Pharmaceuticals Ltd. Vill. Saini Majra, Tehsil Nalagarh, Distt. Solan (H.P.) 174 101.",01-09-2025
Clopidogrel & Aspirin Tablets IP (75mg/75mg),GT241286,"Theon Pharmaceuticals Ltd. Vill. Saini Majra, Tehsil Nalagarh, Distt. Solan (H.P.) 174 101.",01-09-2025
CLOPIMEN-75 Clopidogrel Tablets IP 75 mg,T-2405321,"Rivpra Formulation Pvt. Ltd. Plot No.8, Sector-6A, I.I.E. SIDCUL, Haridwar-249 403 (U.K.)",01-09-2025
NS-CAP Sodium Chloride Injection IP 0.9% w/v,LV50333,"Captab Biotec Unit-II, Plot No.125, E.P.I.P. Road, Mauja, Jharmajri, Baddi, Distt. Solan (H.P.) - 173 205",01-09-2025
TRIMESOL MR 35 Tablets Trimetazidine Hydrochloride Modified Release Tablets,TSF-C2721A,"Spen Formulations Pvt. Ltd., Plot No.-123, Industrial Area, Mehatpur, Distt. UNA-174315 (H.P.)",01-09-2025
"Multiple Electrolytes And Dextrose Injection Type I IP,",P4BY04,"Swaroop Pharmaceuticals Pvt. Ltd. A-10, Tala Nagari Industrial Area, Aligarh 202001, Uttar Pradesh",01-09-2025
Albendazole Tablets IP,PGT25480,"Affy Parenterals (WHO- cGMP/ISO 9001:2015 Certified Co.) Vill. Gullerwala, P.O. Baddi, Distt. Solan- 173 205 (HP)",01-09-2025
Albendazole Tablets IP,PGT25450,"Affy Parenterals (WHO- cGMP/ISO 9001:2015 Certified Co.) Vill. Gullerwala, P.O. Baddi, Distt. Solan- 173 205 (HP)",01-09-2025
Albendazole Tablets IP,PGT25229,"Affy Parenterals (WHO- cGMP/ISO 9001:2015 Certified Co.) Vill. Gullerwala, P.O. Baddi, Distt. Solan- 173 205 (HP)",01-09-2025
"Amoxycillin Tablets IP""",CT2193,"TPD Associates At: No 336, IV Phase, Peenya Industrial Area Bengaluru Karnataka-560 058",01-09-2025
Albendazole Tablets IP Legal Sample ),PGT25229,"Affy Parenterals (WHO- cGMP/ISO 9001:2015 Certified Co.) Vill. Gullerwala, P.O. Baddi, Distt. Solan- 173 205 (HP)",01-09-2025
Paracetamol Tablets IP- 500,CP30813,"HSN Biotech Plot No 40 Sector 6A, SIDCUL Haridwar-249 403, (Uttarakhand)",01-09-2025
Aceclofenac & Paracetamol,ET24260,"Edkem Pharmaceuticals Ltd., ( A WHO-GMP CERTIFIED COMPANY) M9 M12 Gallop Industrial Park II Chancharvadi Vasna Bavla Changodar Highway Ahmedabad- 382210",01-09-2025
Dieclofenac Potassium & Paracetmol,T082441,"Swefn Pharmaceuticals Pvt. Ltd., 7 Sopan Kesar Industrial Hub, Vill- Moraiya Distt- Ahmedabad- 382213",01-09-2025
Clobetasol Propionate Neomycin Sulphate and Miconazole Nitrate Cream,18241408A,"Macleods Pharmaceuticals Ltd.Khasra No 21,22,66,67 & 68 Aho- Yangtam Namchepung P.O. Ranipool, Sikkim 737135",01-09-2025
Ivabradine Tablets 5 mg,HTL0028,"Hetero Labs Ltd., (Unit II) Village: Kalyanpur, Chakkan Road, Tehsil: Baddi, Distt. Solan, Himachal Pradesh. 173205",01-09-2025
Tramadol Hydrochloride Sustained Release Tablets I.P. 100mg -,MNT27015,"Medicross Laboratories Pvt. Ltd., Plot No. 119, HPSIDC, Industrial Area, Baddi, Dist. Solan. (H.P.)",01-09-2025
Sodium Bicarbonate Tablets USP 300mg,AT2502,"Alves Healthcare Pvt Ltd. Nangal Uperla, Swarghat Road, Nalagarh, Dist. Solan (H.P.) India - 174101.",01-09-2025
"Alpha Lipoic Acid IP 100 mg,Pyridoxine Hydrochloride IP 3 mg,Methylcobalamin IP 1500 mcg,Folic Acid IP 1.5mg & Vitamin D3 IP 1000 I.U. Tablets)",FT240594B,Foregen Healthcare Ltd.Plot No. 104-105 DIC Industrial Area Baddi Distt. Solan H.P.,01-09-2025
Paracetamol,HPC332,"Hema Pharmaceuticals plot no 18 & 21 Phase III Ind Area Sansarpur Terrice , Distt Kangra HP 176501",01-09-2025
"Ambroxol, Levosalbutamol Guaiphenesin Syrup",SML-2465,"Saitech Medicare Pvt. Ltd. Village Kheri, Trilokpur Road, Kala- Amb District Sirmour, H.P-173030",01-09-2025
Paracetamol Tablets IP 650 mg,TEM25002AL,"Hindustan Laboratories Ltd. Plot No. 5-9, survey No. 38/2, Aliyali, Palghar (W) Distt. Palghar 401404 (M.S.).",01-09-2025
Iron Sucrose Injection IP,A23412F,"Pace Biotech , Surajpur, Paonta Sahib, Distt Sirmour HP",01-09-2025
Ventrozole-1500,EMVB-24222,"Events Cotporation, Unit-II, Kala Amb, Tehsil Nahan, Distt. Sirmour HP",01-09-2025
Zinc Sulphate Dispersible Tablet IP 20 mg,MT10104,"McW Healthcare(P) Ltd 286,287-A, 287-B ,Sector -E Industrial Area Sanwer Raod Indore (M.P)",01-09-2025
"Paracetamol ,Phenlyephrine HCL & Chlorpheniramine Maleate Suspension",GS-4024,Gag Pharmaceuticals VPO Mubarkpur Shaikhan Jalandhar,01-09-2025
"Paracetamol, Phenylephrine Hcl, Caffeine & Diphenhydramine Hcl Tablets",YLT25006,"YL Pharma, Plot No.9H(1), Village-Katha, Baddi, District Solan-173205(HP)",01-09-2025
Fillace-P,MMT-12846,"Near Railway Crossing, Chambaghat, Solan, Distt- Solan,(H.P)",01-09-2025
Alenvox500,PNT4-1018D,"Vill-Dhana(Bagh Bania), Teh- Nalagarh,Distt- Solan(H.P)",01-09-2025
Noscapine Cough Syrup,LG24-34,"Om Biometic Pvt.Ltd Plot No.68,9,82,&83, Sector -6A,IIE. Sidcul,Haridwar-249403 Uttarkhand",01-09-2025
Ferrous Sulphate &Folic Acid,40791,"Zenith Drugs Ltd (WHO-GMP Cert.co.)72/5,72/3,72/4,74/1/1,75/1/1, Muradpura Orangpura),Dhar Road Near Kalaria,Indore-453001,M.P (India)",01-09-2025
Aspirin Tablets IP,G/25/1739,"Modi Antibiotic, Plot No. 28, G.I.D.C, Odhav Ahmedabad (Gujarat) Ahmedabad",01-09-2025
Azithromycin Tablets IP,TG23074A,"Cure Health Pharmaceuticals Pvt Ltd. Village Raipur P.O Deothi, Tehsil and District Solan-173211",01-09-2025
Paracetamol Tablets IP 500 mg,CLR23725,"Cureza Healthcare Pvt Ltd. Cureza Healthcare Ltd. A.B. Road, Girwai, 474001",01-09-2025
"Oxyclozanide, Levamisole Hydrochloride & Silymarin Bolus Vet",CPT2504266,"CURE QUICK PHARMACEUTICALS 20-21/3, HSIIDC, KAMAL-132001 (HARYANA)",01-09-2025
Primidone Tablets,AR250209,"Alteus Remedies Pvt. Ltd., EPIP, Kartholi, SIDCO Industrial Lane, Bari Brahmana Distt. Samba-18113",01-09-2025
Miconazole Nitrate Cream IP 2% w/w,MZP-2502,"Apple Formulations Pvt, Ltd, Plot No.208, Kishanpur, Roorkee-247667 (U.K)",01-09-2025
ZINC SULPHATE ORAL SOLUTION IP,2508181,"Saar Biotech Pvt. Ltd., VPO-Bhud, Tehsil-Baddi Distt. Solan (H.P.) 173205",01-09-2025
ZINC SULPHATE ORAL Solution IP,2508180,"Saar Biotech Pvt. Ltd., VPO-Bhud, Tehsil-Baddi Distt. Solan (H.P.) 173205",01-09-2025
CEFPODOXIME PROXETIL DISPERSIBLE Tablets,UCT-25327H,"Ultra Drugs Pvt.Ltd., Plot No: 1315-1318, VPO Manpura, Baddi-Nalagarh Road, Distt. Solan (H.P.) 174101",01-09-2025
Zinc Sulphate Oral Solution IP,2508179,"Saar Biotech Pvt. Ltd., VPO-Bhud, Tehsil-Baddi Distt. Solan (H.P.) 173205",01-09-2025
Ondansetron Oral Solution IP,K3ADY003,"Copmed Pharmaceuticals Pvt.Ltd, Unit-1, Plot NO. 4A&B, Gondpur Industrial Area, Paonta Sahib, Distt. Sirmour - 173205 (HP). Himachal Pradesh.",01-09-2025
Amoxycillin & Potassium Clavulanate Tablets IP,DBT-2508A,"Dr. Edwin Medilabs Pvt.Ltd,Plot No. B-29, Industrial area, Focal Point, chanalon, Kurali, SAS Nagar - 140103 (Pb) Punjab.",01-09-2025
Diethyl carbamazine citrate Tablets IP 100 mg,B221194,"Biochem Healthcare Pvt.Ltd, 83, 84, Industraial Area, Dewas Road Nagziri, Ujjain, 456010, Madhya Pradesh,",01-09-2025
Calcium Carbonate Tablets I.P.,RCBT-003,"Revat Laboratories Pvt.Ltd, 12-321, OPP: I.D.A, Kurnool Road, Pernamitta, Ongole - 523 002 Andhra Pradesh.",01-09-2025
Cefpodoxime Proxetil & Potassium Clavulanate oral suspension,HSBD-24107,"UPKAR PHARMACEUTIALS, 101, Industrial area, Gondpur, Paontashaib, Dist Sirmour H.P. 173025. Himachal Pradesh.",01-09-2025
Pantoprazole tablets IP,NMPN-2403,"Konis Pharmaceuticals Pvt.Ltd, Jagriti Sadan, Subathu Road, Solan, - 173 212, Himachal Pradesh.",01-09-2025
"Rabeprazole Gastro-resistant Tablets IP 20 mg,",RABP45003,"Sunrise International labs Ltd, Plot No. 100, Lane - 5, Sector - II, Phase-II, IDA cherlapally, Hydrabad - 500051 Telangana.",01-09-2025
"Cetirizine Hydrochloride Tablets, I.P.",LPT2425300,"Lannett Pharmaceuticals Hydrochloride Pvt.Ltd, Plot no. D-8c, & D-8D, Sigaddi Growth Center, Sidcul, Industrial Area, Kotdwar - 246 149 (UK), Uttarakhand.",01-09-2025
